"","X1","X2","X3","X4"
"64","times",0.165440004929642,"[0.06-1)",1
"65","sites",0.165280927249358,"[0.06-1)",1
"66","level",0.165124339106321,"[0.06-1)",1
"67","hours",0.161602191697945,"[0.06-1)",1
"68","image",0.161301701943689,"[0.06-1)",1
"69","title",0.160324908283337,"[0.06-1)",1
"70","shall",0.156483692521034,"[0.06-1)",1
"71","class",0.15576952303057,"[0.06-1)",1
"72","still",0.155236168614046,"[0.06-1)",1
"73","money",0.155049970955154,"[0.06-1)",1
"74","every",0.154333285841919,"[0.06-1)",1
"75","visit",0.152488082245272,"[0.06-1)",1
"76","tools",0.151260071940975,"[0.06-1)",1
"77","reply",0.150625963816316,"[0.06-1)",1
"78","value",0.148411347618581,"[0.06-1)",1
"79","press",0.146447990453768,"[0.06-1)",1
"80","learn",0.146265029845435,"[0.06-1)",1
"81","print",0.145305234165001,"[0.06-1)",1
"82","stock",0.143711340957153,"[0.06-1)",1
"83","point",0.14308550846515,"[0.06-1)",1
"84","sales",0.141223948429453,"[0.06-1)",1
"85","large",0.13520760180182,"[0.06-1)",1
"86","table",0.134781828164304,"[0.06-1)",1
"87","start",0.131987380481894,"[0.06-1)",1
"88","model",0.13141050888908,"[0.06-1)",1
"89","human",0.130895326301079,"[0.06-1)",1
"90","movie",0.129140546544855,"[0.06-1)",1
"91","march",0.129026560139232,"[0.06-1)",1
"92","yahoo",0.126949803493097,"[0.06-1)",1
"93","going",0.126583334480417,"[0.06-1)",1
"94","study",0.124703768911416,"[0.06-1)",1
"95","staff",0.123542006057342,"[0.06-1)",1
"96","again",0.122912885158904,"[0.06-1)",1
"97","never",0.121914577462198,"[0.06-1)",1
"98","users",0.121721769568357,"[0.06-1)",1
"99","topic",0.121462110996538,"[0.06-1)",1
"100","below",0.118771981772225,"[0.06-1)",1
"101","party",0.117961595009375,"[0.06-1)",1
"102","login",0.117548012278711,"[0.06-1)",1
"103","legal",0.115794271867605,"[0.06-1)",1
"104","above",0.115668612189756,"[0.06-1)",1
"105","quote",0.11350645316667,"[0.06-1)",1
"106","story",0.112847453745405,"[0.06-1)",1
"107","rates",0.11175164080354,"[0.06-1)",1
"108","young",0.111142010682958,"[0.06-1)",1
"109","field",0.110284005610259,"[0.06-1)",1
"110","paper",0.109998928325135,"[0.06-1)",1
"111","girls",0.107868042585264,"[0.06-1)",1
"112","night",0.106405694601736,"[0.06-1)",1
"113","texas",0.105482721084688,"[0.06-1)",1
"114","poker",0.105201963399391,"[0.06-1)",1
"115","issue",0.104690303987546,"[0.06-1)",1
"116","range",0.104598815531653,"[0.06-1)",1
"117","court",0.104113834274844,"[0.06-1)",1
"118","audio",0.103538910944644,"[0.06-1)",1
"119","light",0.103282073685336,"[0.06-1)",1
"120","write",0.103237662264659,"[0.06-1)",1
"121","offer",0.102898401269232,"[0.06-1)",1
"122","given",0.102339191206867,"[0.06-1)",1
"123","files",0.102324120295072,"[0.06-1)",1
"124","event",0.102316606033664,"[0.06-1)",1
"125","china",0.101466213043091,"[0.06-1)",1
"126","needs",0.100751895191206,"[0.06-1)",1
"127","might",0.100426009548479,"[0.06-1)",1
"128","month",0.100289029568159,"[0.06-1)",1
"129","major",0.0999338498813899,"[0.06-1)",1
"130","areas",0.0994399163986329,"[0.06-1)",1
"131","space",0.099047771078093,"[0.06-1)",1
"132","cards",0.0987129413611446,"[0.06-1)",1
"133","child",0.097614798655871,"[0.06-1)",1
"134","enter",0.0973268902761631,"[0.06-1)",1
"135","share",0.0972454015430628,"[0.06-1)",1
"136","added",0.0965249299529078,"[0.06-1)",1
"137","radio",0.0923473413518464,"[0.06-1)",1
"138","until",0.092187944123887,"[0.06-1)",1
"139","color",0.0920865138224594,"[0.06-1)",1
"140","track",0.0916133753937852,"[0.06-1)",1
"141","least",0.090671488241111,"[0.06-1)",1
"142","trade",0.0897395722801867,"[0.06-1)",1
"143","green",0.0882733375535038,"[0.06-1)",1
"144","close",0.0879188703276234,"[0.06-1)",1
"145","drive",0.0878750980022967,"[0.06-1)",1
"146","short",0.0870239526073756,"[0.06-1)",1
"147","means",0.0863648203129701,"[0.06-1)",1
"148","daily",0.0862760439364555,"[0.06-1)",1
"149","beach",0.086117024133429,"[0.06-1)",1
"150","costs",0.0824065930393716,"[0.06-1)",1
"151","style",0.0823522177634978,"[0.06-1)",1
"152","front",0.0822397867072742,"[0.06-1)",1
"153","parts",0.0820369407775266,"[0.06-1)",1
"154","early",0.0815280195305844,"[0.06-1)",1
"155","miles",0.0815274717345693,"[0.06-1)",1
"156","sound",0.081526094907978,"[0.06-1)",1
"157","works",0.0803611031550714,"[0.06-1)",1
"158","rules",0.0796086523421932,"[0.06-1)",1
"159","final",0.0796008617372591,"[0.06-1)",1
"160","adult",0.0795470701249966,"[0.06-1)",1
"161","thing",0.0794399270936979,"[0.06-1)",1
"162","cheap",0.0791123108394535,"[0.06-1)",1
"163","third",0.0778402159987077,"[0.06-1)",1
"164","gifts",0.0777775911757027,"[0.06-1)",1
"165","cover",0.077035224048399,"[0.06-1)",1
"166","often",0.0754454181161747,"[0.06-1)",1
"167","watch",0.0750015647646439,"[0.06-1)",1
"168","deals",0.0743355670862523,"[0.06-1)",1
"169","words",0.0741074614018648,"[0.06-1)",1
"170","linux",0.0740618834691373,"[0.06-1)",1
"171","james",0.0738022085938653,"[0.06-1)",1
"172","heart",0.0735687317369435,"[0.06-1)",1
"173","error",0.0728735606600605,"[0.06-1)",1
"174","clear",0.0721000718716523,"[0.06-1)",1
"175","makes",0.0715962853971784,"[0.06-1)",1
"176","india",0.0712394509099473,"[0.06-1)",1
"177","taken",0.0709361895687108,"[0.06-1)",1
"178","known",0.0704272935921204,"[0.06-1)",1
"179","cases",0.0703132647975196,"[0.06-1)",1
"180","quick",0.0697662244475189,"[0.06-1)",1
"181","whole",0.0694547714364087,"[0.06-1)",1
"182","later",0.069173898811769,"[0.06-1)",1
"183","basic",0.0691594311277289,"[0.06-1)",1
"184","shows",0.0691304207637658,"[0.06-1)",1
"185","along",0.068021882161796,"[0.06-1)",1
"186","among",0.068011149598799,"[0.06-1)",1
"187","death",0.0678360839374987,"[0.06-1)",1
"188","speed",0.0677699881093864,"[0.06-1)",1
"189","brand",0.0675024745339945,"[0.06-1)",1
"190","stuff",0.0663913363464712,"[0.06-1)",1
"191","japan",0.0661192439463523,"[0.06-1)",1
"192","doing",0.0658838392061335,"[0.06-1)",1
"193","loans",0.0658833395053043,"[0.06-1)",1
"194","shoes",0.065829765544137,"[0.06-1)",1
"195","entry",0.0657989406058741,"[0.06-1)",1
"196","notes",0.0651798332881627,"[0.06-1)",1
"197","force",0.064561522394122,"[0.06-1)",1
"198","river",0.0642713152275653,"[0.06-1)",1
"199","album",0.0635136187787396,"[0.06-1)",1
"200","views",0.0630400189623503,"[0.06-1)",1
"201","plans",0.0630092828779053,"[0.06-1)",1
"202","build",0.062933834574078,"[0.06-1)",1
"203","types",0.0628259587025747,"[0.06-1)",1
"204","lines",0.0626104278713539,"[0.06-1)",1
"205","apply",0.062231484271742,"[0.06-1)",1
"206","asked",0.0615722085069516,"[0.06-1)",1
"207","cross",0.0605110624120091,"[0.06-1)",1
"208","weeks",0.0599736769667735,"[0.008-0.06)",0.5
"209","lower",0.0591871804685261,"[0.008-0.06)",0.5
"210","union",0.0591847031588688,"[0.008-0.06)",0.5
"211","names",0.0586263245725985,"[0.008-0.06)",0.5
"212","leave",0.0578428164972546,"[0.008-0.06)",0.5
"213","teens",0.0577629466970202,"[0.008-0.06)",0.5
"214","woman",0.0575622797237431,"[0.008-0.06)",0.5
"215","cable",0.057129416529764,"[0.008-0.06)",0.5
"216","score",0.0565036949012401,"[0.008-0.06)",0.5
"217","shown",0.0560478299808378,"[0.008-0.06)",0.5
"218","flash",0.0557509995365695,"[0.008-0.06)",0.5
"219","ideas",0.0548689908902713,"[0.008-0.06)",0.5
"220","allow",0.0546594181558867,"[0.008-0.06)",0.5
"221","homes",0.05441561061608,"[0.008-0.06)",0.5
"222","super",0.0543746946556889,"[0.008-0.06)",0.5
"223","cause",0.0537236920780364,"[0.008-0.06)",0.5
"224","focus",0.0534971164726969,"[0.008-0.06)",0.5
"225","rooms",0.0533558234139309,"[0.008-0.06)",0.5
"226","voice",0.0526605830473734,"[0.008-0.06)",0.5
"227","comes",0.0523803878311987,"[0.008-0.06)",0.5
"228","brown",0.052262382624453,"[0.008-0.06)",0.5
"229","forms",0.0518136806260509,"[0.008-0.06)",0.5
"230","glass",0.0518121725566643,"[0.008-0.06)",0.5
"231","happy",0.0517405743132224,"[0.008-0.06)",0.5
"232","smith",0.0516476275134742,"[0.008-0.06)",0.5
"233","thank",0.0515470751529815,"[0.008-0.06)",0.5
"234","prior",0.0513143507004077,"[0.008-0.06)",0.5
"235","sport",0.0510981603945199,"[0.008-0.06)",0.5
"236","ready",0.0510848445494222,"[0.008-0.06)",0.5
"237","round",0.0504075877065073,"[0.008-0.06)",0.5
"238","built",0.0501354765574176,"[0.008-0.06)",0.5
"239","blood",0.050009457388434,"[0.008-0.06)",0.5
"240","earth",0.0497743640441643,"[0.008-0.06)",0.5
"241","basis",0.0488300028425233,"[0.008-0.06)",0.5
"242","award",0.0486268096492305,"[0.008-0.06)",0.5
"243","peter",0.0485367999165094,"[0.008-0.06)",0.5
"244","extra",0.0484027561880436,"[0.008-0.06)",0.5
"245","pussy",0.0482635931753896,"[0.008-0.06)",0.5
"246","rated",0.0481783570936567,"[0.008-0.06)",0.5
"247","quite",0.047913998236387,"[0.008-0.06)",0.5
"248","horse",0.0476498733336655,"[0.008-0.06)",0.5
"249","stars",0.047567559645852,"[0.008-0.06)",0.5
"250","lists",0.0474831982443633,"[0.008-0.06)",0.5
"251","owner",0.0474341264816947,"[0.008-0.06)",0.5
"252","takes",0.0471041258474741,"[0.008-0.06)",0.5
"253","bring",0.0469605258501328,"[0.008-0.06)",0.5
"254","input",0.046621088777415,"[0.008-0.06)",0.5
"255","agent",0.0465493397270345,"[0.008-0.06)",0.5
"256","valid",0.0465420463774117,"[0.008-0.06)",0.5
"257","grand",0.0461383378329532,"[0.008-0.06)",0.5
"258","trial",0.0460961159659904,"[0.008-0.06)",0.5
"259","units",0.0460672873855263,"[0.008-0.06)",0.5
"260","wrote",0.0459933398145319,"[0.008-0.06)",0.5
"261","ships",0.0459474953203506,"[0.008-0.06)",0.5
"262","metal",0.0457978524482185,"[0.008-0.06)",0.5
"263","funds",0.0454229488442175,"[0.008-0.06)",0.5
"264","guest",0.0450735161245705,"[0.008-0.06)",0.5
"265","seems",0.0450600217566643,"[0.008-0.06)",0.5
"266","trust",0.0449625931377336,"[0.008-0.06)",0.5
"267","grade",0.0442436010859228,"[0.008-0.06)",0.5
"268","panel",0.0438435567424875,"[0.008-0.06)",0.5
"269","floor",0.0438235597424206,"[0.008-0.06)",0.5
"270","match",0.0436382139389393,"[0.008-0.06)",0.5
"271","plant",0.0434059924478852,"[0.008-0.06)",0.5
"272","sense",0.0429022369499717,"[0.008-0.06)",0.5
"273","stage",0.0428115057894629,"[0.008-0.06)",0.5
"274","goods",0.0428024190600289,"[0.008-0.06)",0.5
"275","maybe",0.0423038806670205,"[0.008-0.06)",0.5
"276","spain",0.0420247891946023,"[0.008-0.06)",0.5
"277","youth",0.0419212761270759,"[0.008-0.06)",0.5
"278","break",0.0417718672094919,"[0.008-0.06)",0.5
"279","dance",0.0416944233630383,"[0.008-0.06)",0.5
"280","apple",0.0412079315913249,"[0.008-0.06)",0.5
"281","enjoy",0.0408739423173698,"[0.008-0.06)",0.5
"282","block",0.0405097802432649,"[0.008-0.06)",0.5
"283","civil",0.0403472543827076,"[0.008-0.06)",0.5
"284","steel",0.0403124098281498,"[0.008-0.06)",0.5
"285","songs",0.040165673861657,"[0.008-0.06)",0.5
"286","fixed",0.0401190492472579,"[0.008-0.06)",0.5
"287","wrong",0.040071301324959,"[0.008-0.06)",0.5
"288","hands",0.0400149720802637,"[0.008-0.06)",0.5
"289","paris",0.0398060612660639,"[0.008-0.06)",0.5
"290","fully",0.0396311113592786,"[0.008-0.06)",0.5
"291","worth",0.0391896179325447,"[0.008-0.06)",0.5
"292","peace",0.039011065777857,"[0.008-0.06)",0.5
"293","coast",0.0388970989363769,"[0.008-0.06)",0.5
"294","grant",0.0388100629534517,"[0.008-0.06)",0.5
"295","agree",0.0387214430900842,"[0.008-0.06)",0.5
"296","blogs",0.0382953939242147,"[0.008-0.06)",0.5
"297","scale",0.0377486282873942,"[0.008-0.06)",0.5
"298","stand",0.0377365498743662,"[0.008-0.06)",0.5
"299","frame",0.037563147980427,"[0.008-0.06)",0.5
"300","chief",0.037253056307628,"[0.008-0.06)",0.5
"301","gives",0.0372119349237311,"[0.008-0.06)",0.5
"302","heard",0.0370386104711929,"[0.008-0.06)",0.5
"303","begin",0.0370372890763411,"[0.008-0.06)",0.5
"304","royal",0.0370146981969293,"[0.008-0.06)",0.5
"305","clean",0.0369939626504493,"[0.008-0.06)",0.5
"306","bible",0.0367485867184805,"[0.008-0.06)",0.5
"307","suite",0.0365439245840879,"[0.008-0.06)",0.5
"308","vegas",0.0365284183701026,"[0.008-0.06)",0.5
"309","piece",0.0361111755142785,"[0.008-0.06)",0.5
"310","sheet",0.0361082245893166,"[0.008-0.06)",0.5
"311","seven",0.0360509334409044,"[0.008-0.06)",0.5
"312","older",0.0360486370995735,"[0.008-0.06)",0.5
"313","cells",0.0359720035347255,"[0.008-0.06)",0.5
"314","looks",0.0357836619717869,"[0.008-0.06)",0.5
"315","calls",0.0355917687016496,"[0.008-0.06)",0.5
"316","whose",0.0355694574264537,"[0.008-0.06)",0.5
"317","naked",0.0351428824742305,"[0.008-0.06)",0.5
"318","lives",0.0348486679189686,"[0.008-0.06)",0.5
"319","stone",0.0346407051505508,"[0.008-0.06)",0.5
"320","tests",0.0345112443226751,"[0.008-0.06)",0.5
"321","buyer",0.0342573881497176,"[0.008-0.06)",0.5
"322","label",0.0337154238797551,"[0.008-0.06)",0.5
"323","canon",0.0335400851356199,"[0.008-0.06)",0.5
"324","waste",0.0334950835299498,"[0.008-0.06)",0.5
"325","chair",0.0332297016310152,"[0.008-0.06)",0.5
"326","phase",0.033196226566495,"[0.008-0.06)",0.5
"327","motor",0.0331087707696594,"[0.008-0.06)",0.5
"328","shirt",0.0330160929768829,"[0.008-0.06)",0.5
"329","crime",0.0329017992511736,"[0.008-0.06)",0.5
"330","count",0.0328887948020249,"[0.008-0.06)",0.5
"331","claim",0.0326764741206661,"[0.008-0.06)",0.5
"332","patch",0.0326066977880778,"[0.008-0.06)",0.5
"333","alone",0.0320578192237707,"[0.008-0.06)",0.5
"334","jones",0.0320339485233117,"[0.008-0.06)",0.5
"335","saint",0.0317339706974749,"[0.008-0.06)",0.5
"336","drugs",0.0316508353156389,"[0.008-0.06)",0.5
"337","joint",0.0316507546135474,"[0.008-0.06)",0.5
"338","fresh",0.03161393815637,"[0.008-0.06)",0.5
"339","dates",0.0313370647687091,"[0.008-0.06)",0.5
"340","upper",0.0312549499830202,"[0.008-0.06)",0.5
"341","prime",0.0312279612472078,"[0.008-0.06)",0.5
"342","limit",0.0312131984706716,"[0.008-0.06)",0.5
"343","began",0.0311962233155865,"[0.008-0.06)",0.5
"344","louis",0.0311878539380769,"[0.008-0.06)",0.5
"345","steps",0.0311838522555802,"[0.008-0.06)",0.5
"346","shops",0.0311732737602124,"[0.008-0.06)",0.5
"347","creek",0.0311065510643389,"[0.008-0.06)",0.5
"348","urban",0.0310482947515193,"[0.008-0.06)",0.5
"349","tours",0.03094153729688,"[0.008-0.06)",0.5
"350","labor",0.0308676679824591,"[0.008-0.06)",0.5
"351","admin",0.0308423674691871,"[0.008-0.06)",0.5
"352","heavy",0.0307060477787065,"[0.008-0.06)",0.5
"353","solid",0.0305090132147197,"[0.008-0.06)",0.5
"354","theme",0.0303406743580564,"[0.008-0.06)",0.5
"355","porno",0.0301006369917164,"[0.008-0.06)",0.5
"356","touch",0.0300236520874599,"[0.008-0.06)",0.5
"357","goals",0.0299712674631765,"[0.008-0.06)",0.5
"358","serve",0.0299150882102473,"[0.008-0.06)",0.5
"359","magic",0.0298979002951028,"[0.008-0.06)",0.5
"360","mount",0.029874658907923,"[0.008-0.06)",0.5
"361","smart",0.029865119757673,"[0.008-0.06)",0.5
"362","avoid",0.0297604882732826,"[0.008-0.06)",0.5
"363","birth",0.0295794115289244,"[0.008-0.06)",0.5
"364","virus",0.0295793569123574,"[0.008-0.06)",0.5
"365","abuse",0.0295660549251946,"[0.008-0.06)",0.5
"366","facts",0.0293801287187925,"[0.008-0.06)",0.5
"367","faith",0.0292944997238464,"[0.008-0.06)",0.5
"368","chain",0.0292878218295678,"[0.008-0.06)",0.5
"369","moved",0.029112664053759,"[0.008-0.06)",0.5
"370","reach",0.0290918143831092,"[0.008-0.06)",0.5
"371","sorry",0.0290167320917979,"[0.008-0.06)",0.5
"372","gamma",0.0288788130325948,"[0.008-0.06)",0.5
"373","truth",0.0288130310459495,"[0.008-0.06)",0.5
"374","films",0.0286941299644709,"[0.008-0.06)",0.5
"375","owned",0.0285719918324332,"[0.008-0.06)",0.5
"376","draft",0.0285584493693411,"[0.008-0.06)",0.5
"377","chart",0.0285534515458765,"[0.008-0.06)",0.5
"378","jesus",0.0284732149179535,"[0.008-0.06)",0.5
"379","clubs",0.0284346719251215,"[0.008-0.06)",0.5
"380","equal",0.0283943820173189,"[0.008-0.06)",0.5
"381","codes",0.0281263393948826,"[0.008-0.06)",0.5
"382","kinds",0.0281088955155287,"[0.008-0.06)",0.5
"383","teams",0.0280283156999236,"[0.008-0.06)",0.5
"384","funny",0.0279455903499263,"[0.008-0.06)",0.5
"385","tried",0.0278803602351592,"[0.008-0.06)",0.5
"386","named",0.0277970153539544,"[0.008-0.06)",0.5
"387","laser",0.027781686847605,"[0.008-0.06)",0.5
"388","harry",0.0276082132184734,"[0.008-0.06)",0.5
"389","taxes",0.0274506713234458,"[0.008-0.06)",0.5
"390","mouse",0.0274444197644587,"[0.008-0.06)",0.5
"391","brain",0.0274002219190131,"[0.008-0.06)",0.5
"392","dream",0.0273234236892916,"[0.008-0.06)",0.5
"393","false",0.0272890943238432,"[0.008-0.06)",0.5
"394","falls",0.0270747471232977,"[0.008-0.06)",0.5
"395","stats",0.0269794648539318,"[0.008-0.06)",0.5
"396","carry",0.0269467356723785,"[0.008-0.06)",0.5
"397","hello",0.0268684008422279,"[0.008-0.06)",0.5
"398","clips",0.0267755657211316,"[0.008-0.06)",0.5
"399","brief",0.0265743623642565,"[0.008-0.06)",0.5
"400","ended",0.0265655519783479,"[0.008-0.06)",0.5
"401","eight",0.0265483175983629,"[0.008-0.06)",0.5
"402","wants",0.0265242618537144,"[0.008-0.06)",0.5
"403","alert",0.0264708786429452,"[0.008-0.06)",0.5
"404","queen",0.0263845681636708,"[0.008-0.06)",0.5
"405","sweet",0.0263397956215131,"[0.008-0.06)",0.5
"406","truck",0.0261965909829029,"[0.008-0.06)",0.5
"407","votes",0.0261341601709866,"[0.008-0.06)",0.5
"408","ocean",0.0260274361384256,"[0.008-0.06)",0.5
"409","signs",0.0260035727745204,"[0.008-0.06)",0.5
"410","depth",0.0259876434859343,"[0.008-0.06)",0.5
"411","train",0.0259363242922932,"[0.008-0.06)",0.5
"412","feeds",0.0257543492276842,"[0.008-0.06)",0.5
"413","route",0.0256284009787204,"[0.008-0.06)",0.5
"414","frank",0.0255901310687233,"[0.008-0.06)",0.5
"415","anime",0.0255431803852676,"[0.008-0.06)",0.5
"416","speak",0.0255350482229968,"[0.008-0.06)",0.5
"417","query",0.0255021160634557,"[0.008-0.06)",0.5
"418","rural",0.0252694788343546,"[0.008-0.06)",0.5
"419","judge",0.0251935887069556,"[0.008-0.06)",0.5
"420","bytes",0.0251467586690509,"[0.008-0.06)",0.5
"421","fight",0.025094529742742,"[0.008-0.06)",0.5
"422","filed",0.0250412125609568,"[0.008-0.06)",0.5
"423","banks",0.0249297588967302,"[0.008-0.06)",0.5
"424","kelly",0.0248711113010427,"[0.008-0.06)",0.5
"425","leads",0.0248687163238222,"[0.008-0.06)",0.5
"426","wales",0.0243096913056472,"[0.008-0.06)",0.5
"427","minor",0.0242779794595504,"[0.008-0.06)",0.5
"428","noted",0.0242551073455772,"[0.008-0.06)",0.5
"429","spent",0.0242264833734462,"[0.008-0.06)",0.5
"430","helps",0.0241356258611779,"[0.008-0.06)",0.5
"431","cycle",0.024117115736009,"[0.008-0.06)",0.5
"432","sleep",0.0240406941160478,"[0.008-0.06)",0.5
"433","scene",0.0239435874903104,"[0.008-0.06)",0.5
"434","drink",0.0238478242690861,"[0.008-0.06)",0.5
"435","intel",0.0236364638610988,"[0.008-0.06)",0.5
"436","rings",0.0234996819677305,"[0.008-0.06)",0.5
"437","henry",0.0234517710109032,"[0.008-0.06)",0.5
"438","guess",0.0234308862878299,"[0.008-0.06)",0.5
"439","ahead",0.0231307837405789,"[0.008-0.06)",0.5
"440","devel",0.0229492692485122,"[0.008-0.06)",0.5
"441","delta",0.0228671185952271,"[0.008-0.06)",0.5
"442","cisco",0.0227386645055636,"[0.008-0.06)",0.5
"443","alpha",0.0226885664405394,"[0.008-0.06)",0.5
"444","bonus",0.0226776855161216,"[0.008-0.06)",0.5
"445","adobe",0.0224488396549757,"[0.008-0.06)",0.5
"446","trees",0.0223178911370294,"[0.008-0.06)",0.5
"447","dress",0.0222696679690805,"[0.008-0.06)",0.5
"448","refer",0.0220909389219296,"[0.008-0.06)",0.5
"449","babes",0.0220227285359855,"[0.008-0.06)",0.5
"450","layer",0.021938146222711,"[0.008-0.06)",0.5
"451","spend",0.0217759594739725,"[0.008-0.06)",0.5
"452","clock",0.02170386723591,"[0.008-0.06)",0.5
"453","ratio",0.0215677904668765,"[0.008-0.06)",0.5
"454","proof",0.0214431644279371,"[0.008-0.06)",0.5
"455","empty",0.0213624280991849,"[0.008-0.06)",0.5
"456","ideal",0.0212240704771006,"[0.008-0.06)",0.5
"457","specs",0.0212182582961673,"[0.008-0.06)",0.5
"458","parks",0.0211740498534774,"[0.008-0.06)",0.5
"459","cream",0.0211119589685525,"[0.008-0.06)",0.5
"460","boxes",0.021021463392937,"[0.008-0.06)",0.5
"461","hills",0.0210071766772234,"[0.008-0.06)",0.5
"462","aware",0.020950204261314,"[0.008-0.06)",0.5
"463","shape",0.0209297426128415,"[0.008-0.06)",0.5
"464","firms",0.0207847030206155,"[0.008-0.06)",0.5
"465","usage",0.0207383229580089,"[0.008-0.06)",0.5
"466","mixed",0.0207013548787201,"[0.008-0.06)",0.5
"467","exist",0.0206639156296447,"[0.008-0.06)",0.5
"468","wheel",0.0206588688958216,"[0.008-0.06)",0.5
"469","angel",0.0206190770585029,"[0.008-0.06)",0.5
"470","width",0.0205280467296347,"[0.008-0.06)",0.5
"471","noise",0.020519134447146,"[0.008-0.06)",0.5
"472","array",0.0205016049746647,"[0.008-0.06)",0.5
"473","greek",0.0204275188243212,"[0.008-0.06)",0.5
"474","sharp",0.0203012216814669,"[0.008-0.06)",0.5
"475","occur",0.0201178184343901,"[0.008-0.06)",0.5
"476","knows",0.020085932141348,"[0.008-0.06)",0.5
"477","coach",0.019983925512863,"[0.008-0.06)",0.5
"478","plate",0.0197887723673326,"[0.008-0.06)",0.5
"479","logic",0.0195559036292013,"[0.008-0.06)",0.5
"480","sizes",0.0193614645749048,"[0.008-0.06)",0.5
"481","plain",0.0193580922056872,"[0.008-0.06)",0.5
"482","costa",0.0193213474837022,"[0.008-0.06)",0.5
"483","trail",0.0192778857391518,"[0.008-0.06)",0.5
"484","buddy",0.0192471121567653,"[0.008-0.06)",0.5
"485","setup",0.0191849642097555,"[0.008-0.06)",0.5
"486","blues",0.0190645827747601,"[0.008-0.06)",0.5
"487","scope",0.0190338083772009,"[0.008-0.06)",0.5
"488","crazy",0.0187757385768598,"[0.008-0.06)",0.5
"489","bears",0.0186893555472204,"[0.008-0.06)",0.5
"490","mouth",0.0186514361614591,"[0.008-0.06)",0.5
"491","meter",0.0186470048829803,"[0.008-0.06)",0.5
"492","fruit",0.0185591912253552,"[0.008-0.06)",0.5
"493","lewis",0.0184556373991967,"[0.008-0.06)",0.5
"494","sugar",0.0183008972525377,"[0.008-0.06)",0.5
"495","stick",0.0182591547070881,"[0.008-0.06)",0.5
"496","genre",0.0182142916807672,"[0.008-0.06)",0.5
"497","slide",0.0182102101113516,"[0.008-0.06)",0.5
"498","exact",0.0181823744111647,"[0.008-0.06)",0.5
"499","bound",0.0181813195777667,"[0.008-0.06)",0.5
"500","storm",0.0181312035789444,"[0.008-0.06)",0.5
"501","micro",0.0181130806607802,"[0.008-0.06)",0.5
"502","dolls",0.0179868226462127,"[0.008-0.06)",0.5
